x,y,condition
-40.619183,-4.7888703,Benign Fluctuation
16.802046,-35.17158,Benign Fluctuation
-14.3406105,-25.210926,Benign Fluctuation
-36.43549,-0.58167666,Benign Fluctuation
-14.812181,21.52852,Benign Fluctuation
-28.980307,23.988579,Benign Fluctuation
0.44494572,-17.34051,Benign Fluctuation
-40.58815,-13.779797,Benign Fluctuation
-13.192947,27.182108,Benign Fluctuation
-24.165005,-7.095407,Benign Fluctuation
10.453153,-19.443485,Benign Fluctuation
0.25659904,11.2008705,Benign Fluctuation
14.057122,-24.728632,Benign Fluctuation
2.8647907,-26.833015,Benign Fluctuation
16.837147,-11.52204,Benign Fluctuation
11.4995985,-10.968306,Benign Fluctuation
13.818215,10.750477,Benign Fluctuation
2.8782725,15.113317,Benign Fluctuation
-13.655627,-11.995109,Benign Fluctuation
-15.4358835,-26.061882,Benign Fluctuation
6.268682,2.4355342,Benign Fluctuation
-32.547306,18.039482,Benign Fluctuation
-29.78374,30.146645,Benign Fluctuation
-37.713512,-16.749592,Benign Fluctuation
-24.207947,-19.67002,Benign Fluctuation
-5.0814066,-31.486563,Benign Fluctuation
7.070743,-28.991123,Benign Fluctuation
-17.42588,-11.909481,Benign Fluctuation
21.635399,3.6351883,Benign Fluctuation
-14.992928,-4.1570473,Benign Fluctuation
-30.467434,-16.342367,Benign Fluctuation
-4.379882,-33.71655,Benign Fluctuation
-13.816173,-21.741879,Benign Fluctuation
8.637559,3.0049975,Benign Fluctuation
19.495934,-14.932589,Benign Fluctuation
-38.571266,3.5900164,Benign Fluctuation
-27.656124,29.411682,Benign Fluctuation
-21.813501,-20.706512,Benign Fluctuation
1.9018356,-12.794639,Benign Fluctuation
-21.991516,-24.857206,Benign Fluctuation
9.600922,-29.418028,Benign Fluctuation
-26.457561,-14.636937,Benign Fluctuation
17.115906,-26.926193,Benign Fluctuation
-17.766602,-7.959417,Benign Fluctuation
-37.86399,-8.2282915,Benign Fluctuation
-11.700069,27.398249,Benign Fluctuation
15.801792,-29.519087,Benign Fluctuation
12.572289,7.245336,Benign Fluctuation
-8.082615,0.18548757,Benign Fluctuation
47.194187,2.674437,Benign Fluctuation
-14.234313,-10.666967,Benign Fluctuation
-16.756481,-6.172226,Benign Fluctuation
-20.130903,-23.427158,Benign Fluctuation
-36.12253,-5.0308967,Benign Fluctuation
8.858335,-34.06086,Benign Fluctuation
18.45655,-1.6673259,Benign Fluctuation
-24.253696,20.148823,Benign Fluctuation
