x,y,label
45.10294,12.496123,Benign Fluctuation
-5.158214,4.6148076,Benign Fluctuation
12.504115,20.691027,Benign Fluctuation
-27.15132,-19.026848,Benign Fluctuation
-12.411279,23.73684,Benign Fluctuation
-40.749523,-0.6102766,Benign Fluctuation
38.21559,11.393155,Benign Fluctuation
39.47743,6.810894,Benign Fluctuation
30.710793,-18.2884,Benign Fluctuation
-9.323158,5.3702025,Benign Fluctuation
-10.751852,-30.28375,Benign Fluctuation
29.459978,-1.1293333,Benign Fluctuation
15.026504,-21.606525,Benign Fluctuation
0.20431963,22.06712,Benign Fluctuation
16.837069,20.278467,Benign Fluctuation
1.2156998,5.7862043,Benign Fluctuation
18.366983,-14.113927,Benign Fluctuation
9.321066,-21.098747,Benign Fluctuation
-36.1944,16.368204,Benign Fluctuation
11.757136,27.208412,Benign Fluctuation
4.613467,-2.0041366,Benign Fluctuation
-30.012909,-23.700369,Benign Fluctuation
-34.468708,10.886496,Benign Fluctuation
31.462233,-5.0848584,Benign Fluctuation
11.412319,26.285437,Benign Fluctuation
37.418667,-2.0457358,Benign Fluctuation
-42.102318,-10.022632,Benign Fluctuation
-36.924908,11.011728,Benign Fluctuation
-3.2733243,16.55424,Benign Fluctuation
18.30397,-22.900053,Benign Fluctuation
-13.194706,-9.661085,Benign Fluctuation
-3.4898696,13.678227,Benign Fluctuation
-36.25619,11.004729,Benign Fluctuation
-40.906662,9.603667,Benign Fluctuation
-17.624056,6.6201267,Benign Fluctuation
7.642545,-20.945005,Benign Fluctuation
1.4327705,22.652264,Benign Fluctuation
-27.314245,-22.51952,Benign Fluctuation
-12.325101,-27.268425,Benign Fluctuation
3.3190699,4.721724,Benign Fluctuation
43.3917,12.361922,Benign Fluctuation
35.43719,-4.270994,Benign Fluctuation
42.030396,11.9223175,Benign Fluctuation
-14.93965,22.026943,Benign Fluctuation
-40.300606,-5.897637,Benign Fluctuation
-42.097637,-3.4450293,Benign Fluctuation
32.867264,9.011906,Benign Fluctuation
17.657812,26.983093,Benign Fluctuation
33.566845,5.4659386,Benign Fluctuation
-18.27516,-29.417023,Benign Fluctuation
5.0078063,-16.152313,Benign Fluctuation
32.568974,-0.24502571,Benign Fluctuation
10.52408,-1.6648934,Benign Fluctuation
9.695881,33.68408,Benign Fluctuation
35.912838,4.438363,Benign Fluctuation
15.3607435,21.32749,Benign Fluctuation
-25.61055,18.815496,Benign Fluctuation
-20.964542,-13.476052,Benign Fluctuation
-42.775215,1.4869257,Benign Fluctuation
-6.086843,2.6104105,Benign Fluctuation
-22.129065,-22.166029,Benign Fluctuation
37.740524,5.528979,Benign Fluctuation
-19.273436,8.052295,Benign Fluctuation
38.473656,-0.9961911,Benign Fluctuation
-10.291323,23.998446,Benign Fluctuation
-21.085896,22.115875,Benign Fluctuation
14.631955,-14.660602,Benign Fluctuation
5.3483763,6.3048387,Benign Fluctuation
17.01375,-1.4425515,Benign Fluctuation
36.78694,13.423035,Benign Fluctuation
-38.37395,0.022157786,Benign Fluctuation
30.515646,14.214073,Benign Fluctuation
10.252847,6.8475914,Benign Fluctuation
-23.494646,24.300676,Benign Fluctuation
7.483552,-3.3398476,Benign Fluctuation
32.944042,-9.256446,Benign Fluctuation
-38.59989,1.8318113,Benign Fluctuation
-2.0502117,22.016418,Benign Fluctuation
15.084852,-4.4871907,Benign Fluctuation
7.33361,33.54888,Benign Fluctuation
8.969429,9.482017,Benign Fluctuation
30.697283,-2.9496236,Benign Fluctuation
4.3445992,19.512613,Benign Fluctuation
-7.535584,23.499247,Benign Fluctuation
4.1310577,3.0460896,Benign Fluctuation
17.214413,23.34922,Benign Fluctuation
-25.395344,-13.933344,Benign Fluctuation
4.136725,6.8367476,Benign Fluctuation
24.178677,-17.073208,Benign Fluctuation
15.198338,28.622229,Benign Fluctuation
8.098457,30.658985,Benign Fluctuation
-30.090975,4.315969,Benign Fluctuation
-2.5459845,9.259901,Benign Fluctuation
-5.593397,-0.41752148,Benign Fluctuation
-15.896033,-7.1744623,Benign Fluctuation
4.141818,13.256106,Benign Fluctuation
-29.607712,-22.756084,Benign Fluctuation
